,movie_title,domestic_total_gross,runtime_minutes,rating,budget
566,Once Upon a Deadpool 2018 Re,6100309,119.0,R,110000000
567,Looking Up,84267,147.0,,0
568,High Strung Free Dance 2019 Re,83891,103.0,PG,0
569,Ms. Purple,80657,87.0,,0
570,The Old Man & the Gun,11277120,93.0,PG-13,0
571,Swing Kids,222001,133.0,,0
572,Saint Judy,78935,106.0,PG-13,0
573,The Heiresses,78473,98.0,,0
574,A Faithful Man,77491,75.0,,0
575,Ploey,77815,83.0,PG,0
576,Fast Colour,76916,100.0,PG-13,0
577,Christ Stopped at Eboli,78736,150.0,,0
578,Triple Threat,76289,96.0,R,0
579,"Hale County This Morning, This Evening",112282,76.0,,0
580,Savage,74491,112.0,Not Rated,0
581,5B,72968,94.0,PG-13,0
582,Working Woman,64048,93.0,,0
583,Cliffs of Freedom,72476,137.0,R,0
584,3 Faces,72324,100.0,,0
585,Storm Boy,71760,99.0,PG,0
586,Free Trip to Egypt 2019 Re,71087,98.0,Not Rated,0
587,The Battle of Jangsari,70853,104.0,,0
588,Styx 2018 Re,70794,94.0,,0
589,Batman Returns 2019 Re,70642,126.0,PG-13,80000000
590,Edie,71790,102.0,,0
591,Diamantino,70088,96.0,,0
592,The Body,68196,101.0,,0
593,The Silence of Others,67986,96.0,,0
594,The Divine Move 2: The Wrathful,67578,106.0,,0
595,Being Frank,67343,109.0,R,0
596,Cunningham,265102,93.0,PG,0
597,This Changes Everything,64988,96.0,,0
598,End of the Century,66309,84.0,,0
599,Beautiful Boy,7649973,,R,0
600,Sauvage / Wild,61604,99.0,,0
601,The Mountain,61035,106.0,,0
602,Last Year at Marienbad 2019 Re,63425,94.0,,0
603,By the Grace of God,67059,137.0,,0
604,John Fogerty: 50 Year Trip,59795,110.0,,0
605,Mickey and the Bear,57188,88.0,R,0
606,Heavy Water,55446,84.0,Not Rated,0
607,Maria By Callas 2018 Re,1267301,119.0,PG,0
608,The Hate U Give,29719483,133.0,PG-13,23000000
609,Plácido Domingo Gala,52502,,,0
610,One Cut of the Dead,52406,96.0,,0
611,QT8: The First Eight,51896,103.0,,0
612,Greener Grass,51456,95.0,,0
613,"Cyrano, My Love",351019,110.0,R,0
614,Making Waves: The Art of Cinematic Sound,53144,94.0,,0
615,Ophelia,50722,114.0,PG-13,0
616,Clinton Road,50400,77.0,,0
617,"Love, Antosha",50168,92.0,R,0
618,Free Trip to Egypt,49693,98.0,Not Rated,0
619,The Bounty Killer,48815,87.0,,0
620,The Final Wish,25183,95.0,,0
621,The Queen,47818,68.0,,0
622,Becoming Astrid,120486,123.0,,0
623,Under the Silver Lake,46083,139.0,R,0
624,Sympathy for the Devil,51150,100.0,,0
625,¡He matado a mi marido!,45777,108.0,,0
626,High on the Hog,45696,85.0,,0
627,The Proposal,45149,86.0,,0
628,What Is Democracy?,44536,107.0,,0
629,Maze 2019 Re,44381,92.0,,0
630,American Dharma,51891,95.0,R,0
631,Carmine Street Guitars,44253,80.0,,0
632,The Star 2019 Re,43510,86.0,PG,20000000
633,Fagara,43417,118.0,,0
634,Immortal Hero,43007,118.0,PG,0
635,Vita & Virginia,42741,110.0,,0
636,For Sama,43796,100.0,,0
637,Midnight Traveler,41265,88.0,,0
638,Clemency,364716,112.0,R,0
639,Charlie Says,40685,110.0,R,0
640,Slut in a Good Way,40513,89.0,R,0
641,Aniara,40124,106.0,R,0
642,Zilla and Zoe,39003,104.0,,0
643,Shed of the Dead,38901,82.0,,0
644,The Raft,39678,97.0,,0
645,The Cave,62625,107.0,PG-13,0
646,Batman Forever 2019 Re,38014,121.0,PG-13,100000000
647,Union,41656,135.0,,0
648,The Quiet One,37010,98.0,,0
649,The Death of Dick Long,36856,100.0,R,0
650,Britt,36549,97.0,,0
651,The Sower,36233,98.0,,0
652,Buñuel in the Labyrinth of the Turtles,36205,80.0,,0
653,Yardie,36012,101.0,,0
654,Loro,35613,151.0,,0
655,White Snake,34730,99.0,,0
656,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,34135,100.0,,0
657,The Wild Pear Tree,34014,188.0,,0
658,Killer Unicorn,33901,74.0,,0
659,Moonlight Sonata: Deafness in Three Movements,33823,90.0,,0
660,An Elephant Sitting Still,32556,230.0,,0
661,Knife + Heart,32516,102.0,,0
662,An Acceptable Loss,32427,102.0,R,0
663,10E,32413,94.0,,0
664,Ága,35178,96.0,,0
665,Desolation Center,32016,93.0,,0
666,Gift,31588,90.0,,0
667,Buddy,31203,86.0,,0
668,Horn from the Heart: The Paul Butterfield Story,58597,95.0,,0
669,Pasolini 2019 Re,30757,84.0,,0
670,Space Station 3D,93383953,,,0
671,Sorry Angel,30628,132.0,,0
672,Los Reyes,30418,78.0,,0
673,The Nun,30245,140.0,,0
674,Deep Sea,46412757,,G,0
675,Lionel Richie at Glastonbury,30123,100.0,,0
676,The Ground Beneath My Feet,29251,108.0,,0
677,Vault,29491,99.0,R,0
678,Recorder: The Marion Stokes Project,55632,87.0,,0
679,Batman & Robin 2019 Re,28597,125.0,PG-13,125000000
680,In the Aisles,28394,125.0,,0
681,Hotel by the River,28354,96.0,,0
682,The Wind,28252,86.0,R,0
683,The Load,28410,98.0,,0
684,El Norte 2019 Re,27920,141.0,,0
685,Kind Hearts and Coronets 2019 Re,35948,106.0,,0
686,"Leaving Home, Coming Home: A Portrait of Robert Frank",27073,85.0,,0
687,The Day Shall Come,26972,87.0,,0
688,Memory: The Origins of Alien,31378,95.0,,0
689,Wrestle,26597,96.0,,0
690,Donnybrook,26284,101.0,R,0
691,Neither Wolf Nor Dog,589289,110.0,,0
692,Asako I & II,25559,119.0,,0
693,Return of the Hero,37108,90.0,,0
694,Invisible Life,146535,139.0,R,0
695,Chasing Einstein,24057,82.0,,0
696,Vox Lux,727119,114.0,R,0
697,Piranhas,23494,111.0,,0
698,Wildlife,1050616,105.0,PG-13,0
699,Celebration,22557,74.0,,0
700,Night School,77339130,111.0,PG-13,29000000
701,Hyenas,24672,110.0,,0
702,Light from Light,24808,82.0,,0
703,Island of Lemurs: Madagascar,11272213,,,0
704,Jane and Emma,380030,90.0,PG,0
705,Wicked Witches,21600,79.0,,0
706,The Hole in the Ground,21072,90.0,R,0
707,Redoubt,33155,134.0,,0
708,The Gospel of Eureka,20039,75.0,,0
709,The All Americans,20324,,,0
710,Light of My Life,20056,119.0,R,0
711,General Magic,20046,93.0,,0
712,The Sound of Silence,20013,85.0,,0
713,Prassthanam,19984,141.0,,0
714,The Perfect Race,29644,,,0
715,Armstrong,19740,100.0,,0
716,Girls of the Sun,19712,115.0,,0
717,Out of Blue,18779,109.0,,0
718,Black Mother,18762,77.0,,0
719,Before Stonewall,18724,87.0,,0
720,The Return of Martin Guerre 2019 Re,18603,122.0,,0
721,Midnight Diner,18555,103.0,,0
722,"Phoenix, Oregon Pre",18356,108.0,R,0
723,The Cranes Are Flying,17923,95.0,,0
724,The House That Jack Built 2018 Re,87993,152.0,R,0
725,Citizen K,120411,126.0,,0
726,Ode to Joy,17303,97.0,R,0
727,Scandalous: The True Story of the National Enquirer,18759,97.0,,0
728,Joseph Pulitzer: Voice of the People,16970,84.0,,0
729,Ballon,34222,125.0,,0
730,Too Late to Die Young,16591,110.0,,0
731,Tremors,23911,107.0,,0
732,Chained for Life,17431,91.0,,0
733,Three Peaks,16216,94.0,,0
734,Virginia Minnesota,16118,98.0,,0
735,Piercing,15856,81.0,R,0
736,Starfish,15849,101.0,,0
737,Little Joe,23862,105.0,,0
738,To the Arctic 3D,14560838,,G,0
739,A Private War,1633208,110.0,R,0
740,Airpocalypse,105678,105.0,,0
741,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,15712,63.0,R,0
742,Midnight Family,42310,81.0,,0
743,Galapagos,18630372,,,0
744,Funan,15152,84.0,,0
745,El Angel,109608,118.0,,0
746,Wrinkles the Clown,14938,78.0,,0
747,ZZ Top: That Little Ol' Band from Texas,14879,91.0,,0
748,Frank and Ava,18829,110.0,,0
749,Our Time,14777,177.0,,0
750,The Competition 2019 Re,15622,121.0,,0
751,Boy Erased,6788692,115.0,R,0
752,Combat Obscura,14242,70.0,,0
753,Screwball,13967,105.0,,0
754,Touch Me Not,13782,123.0,,0
755,My Son 2019 Re,14450,84.0,,0
756,This One's for the Ladies,13688,82.0,NC-17,0
757,First Man,44936545,141.0,PG-13,59000000
758,The Cat Rescuers,31540,87.0,,0
759,The House with a Clock in Its Walls,68549695,105.0,PG,42000000
760,Rapid Response,13294,99.0,PG-13,0
761,Hagazussa,13253,102.0,,0
762,The Woman Who Loves Giraffes,113858,123.0,,0
763,Off Season,12544,86.0,,0
764,The White Sheik 2019 re,50850,86.0,,0
765,Journey to the South Pacific,7653913,,G,0
766,Bricked,12201,92.0,,0
767,Zen for Nothing,12107,100.0,,0
768,Imprisoned,12050,104.0,R,0
769,Quartet,12042,101.0,,0
770,"Cassandro, The Exotico!",11897,73.0,,0
771,Liyana,44045,77.0,,0
772,The Charmer,26167,100.0,,0
773,The Disappearance of My Mother,24951,94.0,,0
774,Stuffed,15532,84.0,,0
775,Vision Portraits,10771,78.0,,0
776,That Part Feeling,8812,75.0,,0
777,Between the Lines,15383,101.0,,0
778,Yomeddine,11308,97.0,,0
779,In Like Flynn,11255,106.0,R,0
780,Made Me Do It,11151,90.0,,0
781,Ferrante Fever,11137,74.0,,0
782,I Do Not Care If We Go Down in History as Barbarians,11307,140.0,,0
783,Suburban Birds,10997,118.0,,0
784,16 Bars,10985,94.0,,0
785,If the Dancer Dances,10912,90.0,,0
786,Duet for Cannibals 2019 re,12962,105.0,,0
787,Shooting the Mafia,10881,94.0,,0
788,Angels Are Made Of Light,7919,117.0,,0
789,Daughter of Mine,10628,97.0,,0
790,The Eyes of Orson Welles,10253,115.0,,0
791,Round of Your Life,20941,91.0,,0
792,Around India with a Movie Camera,10389,72.0,,0
793,Olivia,9934,95.0,,0
794,Streetwise,9904,91.0,,0
795,Tyrel,21456,86.0,,0
796,Fritz Lang's Indian Epic 2019 re,9345,203.0,,0
797,The Spanish Prisoner 2019 Re,9589,110.0,PG,0
798,Studio 54,199767,98.0,,0
